2021-05-24 23:47:52.821 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"yes","stock_names":["AT&T Inc","Tesla Inc","Agilent Technologies Inc"],"stock_symbols":["T","TSLA","A"],"mode":"multiple-stocks","starting_balance":10000.0,"game_time":2.0,"type":"new_or_current_game"} 
2021-05-24 23:48:25.806 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.830c435d-37a1-4e47-8a88-521aa900e6d8 
2021-05-24 23:48:26.068 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"SECOND","type":"new_player"} 
2021-05-24 23:48:26.069 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"no","game_code":"DQWBRR","type":"new_or_current_game"} 
2021-05-24 23:48:45.849 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["T","TSLA","A"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-24 23:49:05.619 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["T","TSLA","A"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-24 23:52:45.264 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
2021-05-24 23:53:08.317 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
2021-05-24 23:53:35.679 | INFO | DRIVER | main | Starting Driver 
2021-05-24 23:53:37.396 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Starting StarterVerticle 
2021-05-24 23:53:37.844 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | config retrieved 
2021-05-24 23:53:37.844 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Got config 
2021-05-24 23:53:39.438 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Server now listening on 8080 
2021-05-24 23:54:26.354 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.6b2eb165-d910-4fe9-8256-393e51316a97 
2021-05-24 23:54:26.413 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"FIRST","type":"new_player"} 
2021-05-24 23:54:26.425 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"yes","stock_names":["AT&T Inc","Sprint Corp","Alcoa Corp"],"stock_symbols":["T","S","AA"],"mode":"multiple-stocks","starting_balance":10000.0,"game_time":2.0,"type":"new_or_current_game"} 
2021-05-24 23:54:52.267 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.716c42f0-2d6e-4b11-bc05-fe0db054df12 
2021-05-24 23:54:52.272 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"FIRST","type":"new_player"} 
2021-05-24 23:54:52.276 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"yes","stock_names":["AT&T Inc","Sprint Corp","Alcoa Corp"],"stock_symbols":["T","S","AA"],"mode":"multiple-stocks","starting_balance":10000.0,"game_time":2.0,"type":"new_or_current_game"} 
2021-05-24 23:54:52.607 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"FIRST","type":"new_player"} 
2021-05-24 23:54:52.608 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"yes","stock_names":["AT&T Inc","Sprint Corp","Alcoa Corp"],"stock_symbols":["T","S","AA"],"mode":"multiple-stocks","starting_balance":10000.0,"game_time":2.0,"type":"new_or_current_game"} 
2021-05-24 23:55:53.446 | INFO | DRIVER | main | Starting Driver 
2021-05-24 23:55:55.061 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Starting StarterVerticle 
2021-05-24 23:55:55.488 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | config retrieved 
2021-05-24 23:55:55.488 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Got config 
2021-05-24 23:55:56.808 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Server now listening on 8080 
2021-05-24 23:56:20.407 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.ad5c9c31-3b6a-422e-81b8-73fd1f9705f3 
2021-05-24 23:56:20.463 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"FIRST","type":"new_player"} 
2021-05-24 23:56:20.475 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"yes","stock_names":["AT&T Inc"],"stock_symbols":["T"],"mode":"multiple-stocks","starting_balance":10000.0,"game_time":2.0,"type":"new_or_current_game"} 
2021-05-24 23:56:47.830 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.c110f253-7501-4a9e-9c80-053fddef3bea 
2021-05-24 23:56:48.135 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"SECOND","type":"new_player"} 
2021-05-24 23:56:48.135 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"no","game_code":"XVHHQS","type":"new_or_current_game"} 
